DATA_LIMPA,PREFIXO,KM_LIMPO,VALOR_LIMPO,SERVIÇOS,SISTEMA_FREIO,SISTEMA_PNEU,SISTEMA_MOTOR_OLEO,SISTEMA_ELETRICO,TIPO DE MANUTENÇÃO,EMPRESA,RESULTADO,FONTE_ORIGEM
2025-10-06,UR-17101,,,INSPEÇÃO DE FREIOS (OBS.: PRÓXIMA INSPEÇÃO AOS 53.000 KM),True,False,False,False,,,,veiculos_manutencao_freio
2025-10-06,UR-17102,41347.0,0.0,INSPEÇÃO DE FREIOS (OBS.: PRÓXIMA INSPEÇÃO AOS 45.000 KMl,True,False,False,False,PREVENTIVA,MOTOMEC,CONCLUÍDO, MANUTENÇÃO-2025
2025-10-06,UR-17102,,,INSPEÇÃO DE FREIOS (OBS.: PRÓXIMA INSPEÇÃO AOS 45.000 KMl,True,False,False,False,,,,veiculos_manutencao_freio
2025-10-06,UT-17003,117036.0,0.0,INSPEÇÃO DE FREIOS (OBS.: PRÓXIMA INSPEÇÃO AOS 120.000 KMl,True,False,False,False,PREVENTIVA,MOTOMEC,CONCLUÍDO, MANUTENÇÃO-2025
2025-10-06,UT-17003,,,INSPEÇÃO DE FREIOS (OBS.: PRÓXIMA INSPEÇÃO AOS 120.000 KMl,True,False,False,False,,,,veiculos_manutencao_freio
2025-10-02,AC-17001,68248.0,,TROCA DAS PASTILHAS DE FREIO (OBS.: PASTILHAS FORNECIDAS PELA MOTOMEC).,True,False,False,False,PREVENTIVA,BF DIESEL,CONCLUÍDO, MANUTENÇÃO-2025
2025-10-02,AC-17001,,,TROCA DAS PASTILHAS DE FREIO (OBS.: PASTILHAS FORNECIDAS PELA MOTOMEC).,True,False,False,False,,,,veiculos_manutencao_freio
2025-10-02,MOB-17106,49031.0,,"TROCA DE ÓLEO, FILTRO DE ÓLEO E COMBUSTÍVEL E BATERIA",False,False,True,True,PREVENTIVA,TOTAL MOTOS,CONCLUÍDO, MANUTENÇÃO-2025
2025-10-02,UT-17004,,0.0,INSTALAÇÃO DE BATERIA 90 AMPERES,False,False,False,True,CORRETIVA,MOTOMEC,CONCLUÍDO, MANUTENÇÃO-2025
2025-09-30,ABS-17105,,0.0,REPARO EM CHICOTE DA BUZINA,False,False,False,True,CORRETIVA,MOTOMEC,CONCLUÍDO, MANUTENÇÃO-2025
